country,variant,v1,v2,t0,data_per,model_date,source,baseline_date,ice_v1,ice_v2,ice_t0
Lithuania,Whole,-0.00094705714549844,1.98376416387606,2016,2026-03,2026-05-02,ACEA,,-0.00011958115830563,3.29108131282197,2016
Luxembourg,Whole,-1.82802611501008e-06,4.3467893057476,2009,2026-03,2026-05-02,ACEA / lustat.statec.lu,,-1.22702098585968e-05,3.78891073115554,2009
Malaysia,Whole,-3.1283321774e-07,5.64104516617456,2017,2026-02,2026-04-01,storage.data.gov.my,,-8.758944112741e-05,3.25386979730657,2017
Netherlands,Whole,-0.00010748157027458,3.12260602875657,2010,2026-03,2026-05-02,durzamemobiliteit.datenbank.nl,,-9.96411764697179e-05,3.32155117263508,2010
Netherlands,HDV,-3.41629225730342e-08,6.80614177009238,2017,2026-03,2026-05-02,durzamemobiliteit.datenbank.nl,,-7.88043863444491e-08,6.42152972313854,2017
Netherlands,Used Imports,-0.0131897633637081,0.701911844588396,2017,2025-12,2026-05-02,duurzamemobiliteit.databank.nl/viewer?workspace_guid=367f17d2-80c3-46fa-8737-5d0e98230fa6 (RDW),,-0.00240935959154413,2.45953794043538,2017
Norway,Whole,-4.1571036863096e-07,5.15056274125863,2004,2026-03,2026-05-02,ofv.no & ACEA,,-1.98651665204979e-06,4.76256903375807,2004
Poland,Whole,-1.39146181023347e-08,5.60915291580119,2010,2026-03,2026-05-02,ACEA / PZPM,,-2.02164381793228e-08,5.71516054195824,2010
Portugal,Whole,-2.59477681642172e-06,4.12607616219634,2009,2026-03,2026-05-02,ACAP,,-8.93952299643915e-06,3.90171639608828,2009
Romania,Whole,-1.29990490099043e-05,3.15294843604124,2009,2026-03,2026-05-02,ACEA,,-2.04406731605823e-05,2.99945018431024,2009
Singapore,Whole,-1.76568753437754e-06,5.42777349870298,2015,2026-03,2026-05-02,data.gov.s / lta.gov.sg / robbieandrew,,-1.37452529163943e-06,5.55512960480862,2015
Slovakia,Whole,-0.00056730274965099,2.02747465509153,2017,2026-03,2026-05-02,ACEA,,-0.00163447435198519,1.85055878941703,2017
Slovenia,Whole,-0.00011549608873283,2.83797706210257,2014,2026-03,2026-05-02,ACEA,,-0.00010786477831339,2.98354218893165,2014
South Korea,Whole,-0.00178570945328933,1.96980401761942,2016,2026-03,2026-05-02,motir.go.kr,,-0.00269331194245095,1.81014588802403,2016
Spain,Whole,-6.68497049031023e-05,2.94472014623124,2014,2026-03,2026-05-02,ACEA / DGT / asierlizarraga,,-0.00016179174371418,2.92894001163711,2014
Sweden,Whole,-5.08436368629507e-08,5.3818217781955,2005,2026-03,2026-05-02,statistikdatabasen.scb.se,,-1.5541689077823e-07,5.27881205392282,2005
Switzerland,Whole,-2.21451314805081e-05,3.38554398973618,2009,2026-03,2026-05-02,pxweb.bfs.admin.ch / ACEA,,-3.27928989964277e-05,3.40912529454454,2009
Switzerland,HDV,-5.14777913753758e-07,4.54004517510873,2009,2025-11,2026-05-02,pxweb.bfs.admin.ch,,-2.21392822530453e-07,4.86858549982534,2009
Thailand,Whole,-2.77080524122576e-06,5.36981140135372,2017,2026-02,2026-05-02,data.thaiauto.or.th,,-8.85176240754029e-06,4.87966692836028,2017
Thailand,HDV,-1.61450350711297e-07,5.34115919990997,2017,2026-02,2026-05-02,data.thaiauto.or.th,,-1.61450350708035e-07,5.34115919991962,2017
Türkiye,Whole,-3.83532694357438e-06,4.56024674173703,2015,2026-03,2026-05-02,data.tuik.gov.tr/,,-4.59483378046147e-06,4.97412393955407,2015
UK,Whole,-0.00063601678473356,2.47239696882151,2014,2026-03,2026-05-02,SMMT,,-0.00104693910066575,2.45736408252962,2014
Uruguay,Whole,-0.00083862615798694,3.51540351355898,2020,2026-03,2026-05-02,ACAU,,-0.00056574659726633,3.78889165234515,2020
USA,Whole,-2.56420762661858e-05,2.9666945643209,2010,2026-03,2026-05-02,ANL,,-6.33351895335276e-05,2.71276221276921,2010
Georgia,Whole,-2.28192717996857e-06,4.39681655948808,2016,2026-03,2026-05-02,National Statistics Office of Georgia,,-2.28192717996857e-06,4.39681655948808,2016
India,Whole,-6.56041792222027e-10,6.38496746615856,2009,2026-01,2026-05-02,vahan.parivahan.gov.in,,-6.55053700214423e-10,6.38563804142818,2009
New Zealand,Whole,-0.00020728714332147,2.21967012144797,2011,2026-03,2026-05-02,transport.govt.nz & Prof. Ray Willis,,-0.00016176820660657,2.48964903946187,2011
Malta,Whole,-0.11248910971322,0.83527849936232,2021,2025-05,2026-05-02,ACEA,,-0.379543359699779,0.120775284895782,2021
NewZealand,HDV,-2.70560352300597e-05,3.10487513099515,2015,2026-03,2026-05-02,transport.govt.nz & Prof. Ray Willis,,-1.42172734908045e-05,3.40252402453546,2015
